Number of words,75205
Number of unique words,2311
Average word frequency,32.542190
Entropy,6.149864

Word,Frequency,Proportion,Entropy Term
apart,31,0.000412,0.003213
boots,48,0.000638,0.004695
goadome,3,0.000040,0.000404
twice,21,0.000279,0.002285
trips,3,0.000040,0.000404
count,3,0.000040,0.000404
boot,34,0.000452,0.003482
construction,18,0.000239,0.001996
sites,3,0.000040,0.000404
worn,179,0.002380,0.014378
fall,12,0.000160,0.001395
concern,5,0.000066,0.000639
job,48,0.000638,0.004695
site,8,0.000106,0.000973
hope,39,0.000519,0.003923
telling,6,0.000080,0.000753
makes,70,0.000931,0.006496
red,61,0.000811,0.005773
market,9,0.000120,0.001081
key,5,0.000066,0.000639
bubble,4,0.000053,0.000523
ventilation,10,0.000133,0.001187
hot,44,0.000585,0.004355
hopefully,10,0.000133,0.001187
brand,80,0.001064,0.007282
son,545,0.007247,0.035707
stretched,13,0.000173,0.001497
personally,9,0.000120,0.001081
acg,3,0.000040,0.000404
tech,4,0.000053,0.000523
material,75,0.000997,0.006892
resistant,8,0.000106,0.000973
weather,20,0.000266,0.002189
stains,4,0.000053,0.000523
spots,5,0.000066,0.000639
lasting,5,0.000066,0.000639
winter,13,0.000173,0.001497
loves,560,0.007446,0.036487
decided,31,0.000412,0.003213
loosen,17,0.000226,0.001898
rubbing,11,0.000146,0.001292
bone,12,0.000160,0.001395
ate,3,0.000040,0.000404
kept,23,0.000306,0.002475
dry,35,0.000465,0.003571
rain,11,0.000146,0.001292
ðŸ,16,0.000213,0.001799
quality,260,0.003457,0.019593
wish,90,0.001197,0.008052
creases,5,0.000066,0.000639
quickly,59,0.000785,0.005610
amazon,141,0.001875,0.011773
okay,31,0.000412,0.003213
starts,11,0.000146,0.001292
rip,11,0.000146,0.001292
clear,10,0.000133,0.001187
plastic,18,0.000239,0.001996
outer,7,0.000093,0.000864
hurts,14,0.000186,0.001599
mid,10,0.000133,0.001187
hour,21,0.000279,0.002285
playing,53,0.000705,0.005115
ball,46,0.000612,0.004526
dunks,12,0.000160,0.001395
heard,8,0.000106,0.000973
lightweight,89,0.001183,0.007976
people,65,0.000864,0.006096
achilles,10,0.000133,0.001187
tendon,4,0.000053,0.000523
making,35,0.000465,0.003571
impossible,5,0.000066,0.000639
entire,12,0.000160,0.001395
games,14,0.000186,0.001599
luv,10,0.000133,0.001187
sooo,7,0.000093,0.000864
short,35,0.000465,0.003571
lovely,7,0.000093,0.000864
texture,5,0.000066,0.000639
surprised,18,0.000239,0.001996
wanting,6,0.000080,0.000753
finally,29,0.000386,0.003031
em,59,0.000785,0.005610
exactly,139,0.001848,0.011632
crimson,4,0.000053,0.000523
pink,33,0.000439,0.003393
said,120,0.001596,0.010277
wait,32,0.000426,0.003303
times,59,0.000785,0.005610
junk,3,0.000040,0.000404
hands,9,0.000120,0.001081
rare,8,0.000106,0.000973
simply,19,0.000253,0.002093
narrower,15,0.000199,0.001699
lots,25,0.000332,0.002662
advertised,31,0.000412,0.003213
fine,95,0.001263,0.008431
odd,8,0.000106,0.000973
inside,51,0.000678,0.004948
shoebr,9,0.000120,0.001081
smell,4,0.000053,0.000523
noticeably,5,0.000066,0.000639
worse,7,0.000093,0.000864
taking,3,0.000040,0.000404
spray,3,0.000040,0.000404
sell,8,0.000106,0.000973
balls,7,0.000093,0.000864
leather,71,0.000944,0.006576
month,45,0.000598,0.004441
later,26,0.000346,0.002755
wont,45,0.000598,0.004441
wiggle,9,0.000120,0.001081
leaving,3,0.000040,0.000404
recently,15,0.000199,0.001699
fast,238,0.003165,0.018215
lift,12,0.000160,0.001395
walks,17,0.000226,0.001898
black,115,0.001529,0.009914
allow,12,0.000160,0.001395
ton,6,0.000080,0.000753
care,17,0.000226,0.001898
stars,50,0.000665,0.004864
theses,8,0.000106,0.000973
casual,37,0.000492,0.003748
shoesi,7,0.000093,0.000864
turning,3,0.000040,0.000404
heads,5,0.000066,0.000639
summer,48,0.000638,0.004695
liked,70,0.000931,0.006496
darker,5,0.000066,0.000639
complaints,46,0.000612,0.004526
lunar,28,0.000372,0.002940
stands,4,0.000053,0.000523
water,30,0.000399,0.003122
breathable,22,0.000293,0.002380
does,68,0.000904,0.006337
sweat,11,0.000146,0.001292
problem,84,0.001117,0.007592
shock,6,0.000080,0.000753
crazy,10,0.000133,0.001187
rx,4,0.000053,0.000523
comment,8,0.000106,0.000973
selling,12,0.000160,0.001395
authentic,48,0.000638,0.004695
checked,5,0.000066,0.000639
stamp,3,0.000040,0.000404
sticker,4,0.000053,0.000523
model,45,0.000598,0.004441
number,12,0.000160,0.001395
spot,12,0.000160,0.001395
buyers,7,0.000093,0.000864
thing,78,0.001037,0.007127
swoosh,16,0.000213,0.001799
ones,98,0.001303,0.008657
soul,3,0.000040,0.000404
sells,4,0.000053,0.000523
ethics,3,0.000040,0.000404
expensive,44,0.000585,0.004355
looked,63,0.000838,0.005935
shipped,50,0.000665,0.004864
earlier,29,0.000386,0.003031
review,37,0.000492,0.003748
