Id,Label,timeset,modularity_class,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
302,comfy,,0,0,0,0,0,0,0,0,0,0
303,hard,,0,0,0,0,0,0,0,0,0,0
304,surfaces,,0,0,0,0,0,0,0,0,0,0
305,area,,0,0,0,0,0,0,0,0,0,0
306,everytime,,0,0,0,0,0,0,0,0,0,0
307,play,,0,0,0,0,0,0,0,0,0,0
308,pretty,,0,0,0,0,0,0,0,0,0,0
309,tough,,0,0,0,0,0,0,0,0,0,0
310,tennis,,0,0,0,0,0,0,0,0,0,0
311,used,,0,0,0,0,0,0,0,0,0,0
312,court,,0,0,0,0,0,0,0,0,0,0
313,theyll,,0,0,0,0,0,0,0,0,0,0
314,week,,0,0,0,0,0,0,0,0,0,0
315,looking,,0,0,0,0,0,0,0,0,0,0
316,true,,0,0,0,0,0,0,0,0,0,0
317,life,,0,0,0,0,0,0,0,0,0,0
318,larger,,0,0,0,0,0,0,0,0,0,0
319,normally,,0,0,0,0,0,0,0,0,0,0
320,boy,,0,0,0,0,0,0,0,0,0,0
321,description,,0,0,0,0,0,0,0,0,0,0
322,correct,,0,0,0,0,0,0,0,0,0,0
323,written,,0,0,0,0,0,0,0,0,0,0
324,kid,,0,0,0,0,0,0,0,0,0,0
325,save,,0,0,0,0,0,0,0,0,0,0
326,boxes,,0,0,0,0,0,0,0,0,0,0
327,mail,,0,0,0,0,0,0,0,0,0,0
328,lil,,0,0,0,0,0,0,0,0,0,0
329,comfortably,,0,0,0,0,0,0,0,0,0,0
330,actually,,0,0,0,0,0,0,0,0,0,0
331,numerous,,0,0,0,0,0,0,0,0,0,0
332,par,,0,0,0,0,0,0,0,0,0,0
333,recommend,,0,0,0,0,0,0,0,0,0,0
334,ok,,0,0,0,0,0,0,0,0,0,0
335,year,,0,0,0,0,0,0,0,0,0,0
336,walking,,0,0,0,0,0,0,0,0,0,0
337,long,,0,0,0,0,0,0,0,0,0,0
338,replaced,,0,0,0,0,0,0,0,0,0,0
339,highly,,0,0,0,0,0,0,0,0,0,0
340,recommended,,0,0,0,0,0,0,0,0,0,0
341,end,,0,0,0,0,0,0,0,0,0,0
342,started,,0,0,0,0,0,0,0,0,0,0
343,excelente,,0,0,0,0,0,0,0,0,0,0
344,thicker,,0,0,0,0,0,0,0,0,0,0
345,normal,,0,0,0,0,0,0,0,0,0,0
346,insole,,0,0,0,0,0,0,0,0,0,0
347,slippersbr,,0,0,0,0,0,0,0,0,0,0
348,br,,0,0,0,0,0,0,0,0,0,0
349,sore,,0,0,0,0,0,0,0,0,0,0
350,tired,,0,0,0,0,0,0,0,0,0,0
351,feeling,,0,0,0,0,0,0,0,0,0,0
352,rest,,0,0,0,0,0,0,0,0,0,0
353,airs,,0,0,0,0,0,0,0,0,0,0
354,thinner,,0,0,0,0,0,0,0,0,0,0
355,felt,,0,0,0,0,0,0,0,0,0,0
356,tongue,,0,0,0,0,0,0,0,0,0,0
357,attach,,0,0,0,0,0,0,0,0,0,0
358,tried,,0,0,0,0,0,0,0,0,0,0
359,walked,,0,0,0,0,0,0,0,0,0,0
360,house,,0,0,0,0,0,0,0,0,0,0
361,caused,,0,0,0,0,0,0,0,0,0,0
362,blisters,,0,0,0,0,0,0,0,0,0,0
363,thought,,0,0,0,0,0,0,0,0,0,0
364,went,,0,0,0,0,0,0,0,0,0,0
365,notice,,0,0,0,0,0,0,0,0,0,0
366,dress,,0,0,0,0,0,0,0,0,0,0
367,disappointment,,0,0,0,0,0,0,0,0,0,0
368,husband,,0,0,0,0,0,0,0,0,0,0
369,enjoy,,0,0,0,0,0,0,0,0,0,0
370,forward,,0,0,0,0,0,0,0,0,0,0
371,using,,0,0,0,0,0,0,0,0,0,0
372,daily,,0,0,0,0,0,0,0,0,0,0
373,exercise,,0,0,0,0,0,0,0,0,0,0
374,rating,,0,0,0,0,0,0,0,0,0,0
375,try,,0,0,0,0,0,0,0,0,0,0
376,works,,0,0,0,0,0,0,0,0,0,0
377,says,,0,0,0,0,0,0,0,0,0,0
378,tho,,0,0,0,0,0,0,0,0,0,0
379,quick,,0,0,0,0,0,0,0,0,0,0
380,footwear,,0,0,0,0,0,0,0,0,0,0
381,vibrant,,0,0,0,0,0,0,0,0,0,0
382,value,,0,0,0,0,0,0,0,0,0,0
383,delivered,,0,0,0,0,0,0,0,0,0,0
384,classic,,0,0,0,0,0,0,0,0,0,0
385,wanted,,0,0,0,0,0,0,0,0,0,0
386,colorways,,0,0,0,0,0,0,0,0,0,0
387,didnt,,0,0,0,0,0,0,0,0,0,0
388,sacrifice,,0,0,0,0,0,0,0,0,0,0
389,series,,0,0,0,0,0,0,0,0,0,0
390,amazing,,0,0,0,0,0,0,0,0,0,0
391,solid,,0,0,0,0,0,0,0,0,0,0
392,shorts,,0,0,0,0,0,0,0,0,0,0
393,jeans,,0,0,0,0,0,0,0,0,0,0
394,best,,0,0,0,0,0,0,0,0,0,0
395,minute,,0,0,0,0,0,0,0,0,0,0
396,loved,,0,0,0,0,0,0,0,0,0,0
397,sides,,0,0,0,0,0,0,0,0,0,0
398,luck,,0,0,0,0,0,0,0,0,0,0
399,extremely,,0,0,0,0,0,0,0,0,0,0
400,ended,,0,0,0,0,0,0,0,0,0,0
401,runs,,0,0,0,0,0,0,0,0,0,0
402,beware,,0,0,0,0,0,0,0,0,0,0
403,pleased,,0,0,0,0,0,0,0,0,0,0
404,fashionable,,0,0,0,0,0,0,0,0,0,0
405,maxs,,0,0,0,0,0,0,0,0,0,0
406,workout,,0,0,0,0,0,0,0,0,0,0
407,colour,,0,0,0,0,0,0,0,0,0,0
408,happened,,0,0,0,0,0,0,0,0,0,0
409,price,,0,258,109,367,2,0.618182,0.691176,0.742493,0.018835,0.893382
410,available,,0,0,0,0,0,0,0,0,0,0
411,amazingly,,0,0,0,0,0,0,0,0,0,0
412,excelent,,0,0,0,0,0,0,0,0,0,0
413,men,,0,0,0,0,0,0,0,0,0,0
414,worried,,0,0,0,0,0,0,0,0,0,0
415,wonderfully,,0,0,0,0,0,0,0,0,0,0
416,issues,,0,0,0,0,0,0,0,0,0,0
417,plantar,,0,0,0,0,0,0,0,0,0,0
418,fasciitis,,0,0,0,0,0,0,0,0,0,0
