Number of pairs,46245.000000
Number of unique pairs,5867
Average pair frequency,7.882223
Pair entropy,8.084944

Pair,Frequency,Proportion,Entropy Term,Mutual Information
like knock,3.000000,0.000065,0.000626,4.377952
did like,4.000000,0.000086,0.000809,1.175205
did shoe,6.000000,0.000130,0.001161,0.853368
did shoes,7.000000,0.000151,0.001331,0.376046
did size,12.000000,0.000259,0.002143,1.950932
did fit,19.000000,0.000411,0.003204,2.265792
did order,5.000000,0.000108,0.000987,2.881475
did color,3.000000,0.000065,0.000626,1.835247
did say,3.000000,0.000065,0.000626,2.976785
did pair,5.000000,0.000108,0.000987,1.413666
did half,4.000000,0.000086,0.000809,2.532605
did purchase,3.000000,0.000065,0.000626,2.548197
did feel,3.000000,0.000065,0.000626,1.780738
did wear,4.000000,0.000086,0.000809,1.358178
did box,3.000000,0.000065,0.000626,2.525597
did right,5.000000,0.000108,0.000987,2.862517
did notice,3.000000,0.000065,0.000626,5.004933
did try,3.000000,0.000065,0.000626,3.330957
did cause,3.000000,0.000065,0.000626,4.216476
did disappoint,4.000000,0.000086,0.000809,5.698080
did research,4.000000,0.000086,0.000809,6.054755
years ago,26.000000,0.000562,0.004207,5.968526
years great,4.000000,0.000086,0.000809,0.220434
years size,3.000000,0.000065,0.000626,0.552516
years fit,4.000000,0.000086,0.000809,0.695526
years pair,4.000000,0.000086,0.000809,1.178401
years old,12.000000,0.000259,0.002143,3.716518
years going,3.000000,0.000065,0.000626,3.258211
years wear,3.000000,0.000065,0.000626,1.058375
years use,3.000000,0.000065,0.000626,2.459115
years wearing,3.000000,0.000065,0.000626,2.298184
years later,3.000000,0.000065,0.000626,4.442765
ago nike,3.000000,0.000065,0.000626,2.270750
ago going,3.000000,0.000065,0.000626,4.478378
ago time,3.000000,0.000065,0.000626,2.789803
real nice,4.000000,0.000086,0.000809,2.091208
real nike,3.000000,0.000065,0.000626,1.793123
real good,10.000000,0.000216,0.001825,2.433606
real comfortable,8.000000,0.000173,0.001499,2.040863
real deal,5.000000,0.000108,0.000987,4.946894
real fake,4.000000,0.000086,0.000809,4.819061
real life,3.000000,0.000065,0.000626,5.352359
real leather,4.000000,0.000086,0.000809,4.468404
great nice,34.000000,0.000735,0.005305,0.832612
great look,24.000000,0.000519,0.003925,0.812446
