Id,Label,timeset,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering
351,stylish,,0,0,0,0,0,0,0
352,standard,,0,0,0,0,0,0,0
353,true,,0,0,0,0,0,0,0
354,looks,,0,0,0,0,0,0,0
355,good,,0,1,1,1,15.006417,0.036057,0.761089
356,neuropathy,,0,0,0,0,0,0,0
357,insoles,,0,0,0,0,0,0,0
358,hard,,0,0,0,0,0,0,0
359,keeps,,0,0,0,0,0,0,0
360,comparable,,0,0,0,0,0,0,0
361,best,,0,0,0,0,0,0,0
362,relatively,,0,0,0,0,0,0,0
363,rubbed,,0,0,0,0,0,0,0
364,constantly,,0,0,0,0,0,0,0
365,eventually,,0,0,0,0,0,0,0
366,gave,,0,0,0,0,0,0,0
367,blisters,,0,0,0,0,0,0,0
368,glad,,0,0,0,0,0,0,0
369,purchased,,0,0,0,0,0,0,0
370,liked,,0,0,0,0,0,0,0
371,thicker,,0,0,0,0,0,0,0
372,gives,,0,0,0,0,0,0,0
373,suffer,,0,0,0,0,0,0,0
374,affordable,,0,0,0,0,0,0,0
375,month,,0,0,0,0,0,0,0
376,use,,0,0,0,0,0,0,0
377,bed,,0,0,0,0,0,0,0
378,starting,,0,0,0,0,0,0,0
379,disappointing,,0,0,0,0,0,0,0
380,hoping,,0,0,0,0,0,0,0
381,touch,,0,0,0,0,0,0,0
382,reported,,0,0,0,0,0,0,0
383,reviewers,,0,0,0,0,0,0,0
384,used,,0,0,0,0,0,0,0
385,tighter,,0,0,0,0,0,0,0
386,fits,,0,0,0,0,0,0,0
387,types,,0,0,0,0,0,0,0
388,backs,,0,0,0,0,0,0,0
389,surgery,,0,0,0,0,0,0,0
390,years,,0,0,0,0,0,0,0
391,boy,,0,0,0,0,0,0,0
392,let,,0,0,0,0,0,0,0
393,tell,,0,0,0,0,0,0,0
394,huge,,0,0,0,0,0,0,0
395,difference,,0,0,0,0,0,0,0
396,white,,0,0,0,0,0,0,0
397,swell,,0,0,0,0,0,0,0
398,miracle,,0,0,0,0,0,0,0
399,lightweight,,0,0,0,0,0,0,0
400,lack,,0,0,0,0,0,0,0
401,beginning,,0,0,0,0,0,0,0
402,beautiful,,0,0,0,0,0,0,0
403,ordinary,,0,0,0,0,0,0,0
404,service,,0,0,0,0,0,0,0
405,house,,0,0,0,0,0,0,0
406,barefoot,,0,0,0,0,0,0,0
407,comfortably,,0,0,0,0,0,0,0
408,area,,0,0,0,0,0,0,0
409,brace,,0,0,0,0,0,0,0
410,picky,,0,0,0,0,0,0,0
411,height,,0,0,0,0,0,0,0
412,stretch,,0,0,0,0,0,0,0
413,loose,,0,0,0,0,0,0,0
414,changes,,0,0,0,0,0,0,0
415,adds,,0,0,0,0,0,0,0
416,significant,,0,0,0,0,0,0,0
417,tiny,,0,0,0,0,0,0,0
418,difficulty,,0,0,0,0,0,0,0
419,beach,,0,0,0,0,0,0,0
420,pool,,0,0,0,0,0,0,0
421,street,,0,0,0,0,0,0,0
422,provide,,0,0,0,0,0,0,0
423,smart,,0,0,0,0,0,0,0
424,offered,,0,0,0,0,0,0,0
425,multicolor,,0,0,0,0,0,0,0
426,mens,,0,0,0,0,0,0,0
427,men,,0,0,0,0,0,0,0
428,wanted,,0,0,0,0,0,0,0
429,husband,,0,0,0,0,0,0,0
430,stability,,0,0,0,0,0,0,0
431,flat,,0,0,0,0,0,0,0
432,tends,,0,0,0,0,0,0,0
433,orthopedic,,0,0,0,0,0,0,0
434,steps,,0,0,0,0,0,0,0
435,basic,,0,0,0,0,0,0,0
436,supporting,,0,0,0,0,0,0,0
437,slip,,0,0,0,0,0,0,0
438,awkward,,0,0,0,0,0,0,0
439,spots,,0,0,0,0,0,0,0
440,youre,,0,0,0,0,0,0,0
441,example,,0,0,0,0,0,0,0
442,wife,,0,0,0,0,0,0,0
443,pleased,,0,0,0,0,0,0,0
444,slips,,0,0,0,0,0,0,0
445,literally,,0,0,0,0,0,0,0
446,actual,,0,0,0,0,0,0,0
447,stand,,0,0,0,0,0,0,0
448,bother,,0,0,0,0,0,0,0
449,light,,0,0,0,0,0,0,0
450,weight,,0,0,0,0,0,0,0
451,hardly,,0,0,0,0,0,0,0
452,squishy,,0,0,0,0,0,0,0
453,periods,,0,0,0,0,0,0,0
454,casual,,0,0,0,0,0,0,0
455,slightly,,0,0,0,0,0,0,0
456,noticeable,,0,0,0,0,0,0,0
457,noise,,0,0,0,0,0,0,0
458,shoesandal,,0,0,0,0,0,0,0
459,conforms,,0,0,0,0,0,0,0
