Number of words,102449
Number of unique words,2620
Average word frequency,39.102672
Entropy,6.250748

Word,Frequency,Proportion,Entropy Term
caught,5,0.000049,0.000485
throw,8,0.000078,0.000739
forward,34,0.000332,0.002659
stayed,11,0.000107,0.000981
took,84,0.000820,0.005827
sent,73,0.000713,0.005164
allow,23,0.000225,0.001886
happen,13,0.000127,0.001139
turn,35,0.000342,0.002727
inward,4,0.000039,0.000396
problems,85,0.000830,0.005886
heels,78,0.000761,0.005467
plan,22,0.000215,0.001814
standing,70,0.000683,0.004980
edge,20,0.000195,0.001667
wouldnt,71,0.000693,0.005041
unable,7,0.000068,0.000655
received,87,0.000849,0.006005
promised,6,0.000059,0.000571
business,16,0.000156,0.001369
seller,32,0.000312,0.002521
cushion,97,0.000947,0.006592
leave,16,0.000156,0.001369
clothes,11,0.000107,0.000981
fast,120,0.001171,0.007906
life,20,0.000195,0.001667
backup,5,0.000049,0.000485
happens,7,0.000068,0.000655
wrapped,3,0.000029,0.000306
shes,66,0.000644,0.004733
skecher,32,0.000312,0.002521
sneakers,210,0.002050,0.012688
surprised,39,0.000381,0.002997
update,53,0.000517,0.003915
missed,4,0.000039,0.000396
return,209,0.002040,0.012638
date,12,0.000117,0.001060
stuck,21,0.000205,0.001741
poor,31,0.000303,0.002452
quality,313,0.003055,0.017692
customer,18,0.000176,0.001519
extremely,128,0.001249,0.008352
lovely,17,0.000166,0.001444
absolutely,130,0.001269,0.008463
sandles,6,0.000059,0.000571
type,47,0.000459,0.003527
chafe,3,0.000029,0.000306
holds,13,0.000127,0.001139
technically,5,0.000049,0.000485
pass,13,0.000127,0.001139
formal,3,0.000029,0.000306
needs,49,0.000478,0.003657
forces,3,0.000029,0.000306
platform,4,0.000039,0.000396
having,64,0.000625,0.004609
wonder,7,0.000068,0.000655
cause,41,0.000400,0.003131
pressure,12,0.000117,0.001060
press,4,0.000039,0.000396
town,10,0.000098,0.000901
key,4,0.000039,0.000396
piece,20,0.000195,0.001667
uncomfortable,165,0.001611,0.010358
cali,9,0.000088,0.000820
womens,29,0.000283,0.002313
oh,10,0.000098,0.000901
owned,63,0.000615,0.004547
case,32,0.000312,0.002521
comfortablei,6,0.000059,0.000571
shoesi,9,0.000088,0.000820
warm,24,0.000234,0.001958
marshmallows,4,0.000039,0.000396
course,28,0.000273,0.002242
rise,3,0.000029,0.000306
ready,16,0.000156,0.001369
needed,144,0.001406,0.009231
strange,10,0.000098,0.000901
comments,12,0.000117,0.001060
thanks,78,0.000761,0.005467
shipping,84,0.000820,0.005827
pictured,6,0.000059,0.000571
ill,72,0.000703,0.005103
cushions,5,0.000049,0.000485
getting,98,0.000957,0.006650
chance,19,0.000185,0.001594
wait,49,0.000478,0.003657
weather,28,0.000273,0.002242
allows,7,0.000068,0.000655
round,10,0.000098,0.000901
base,9,0.000088,0.000820
pronounced,3,0.000029,0.000306
sorry,14,0.000137,0.001216
send,65,0.000634,0.004671
wont,79,0.000771,0.005527
fall,56,0.000547,0.004106
ordering,61,0.000595,0.004422
special,12,0.000117,0.001060
classroom,5,0.000049,0.000485
allowed,6,0.000059,0.000571
minutes,33,0.000322,0.002590
knot,3,0.000029,0.000306
quickly,75,0.000732,0.005285
away,78,0.000761,0.005467
bothered,12,0.000117,0.001060
commercial,12,0.000117,0.001060
suspect,7,0.000068,0.000655
peoples,4,0.000039,0.000396
depending,10,0.000098,0.000901
width,112,0.001093,0.007454
minor,9,0.000088,0.000820
sit,7,0.000068,0.000655
correctly,11,0.000107,0.000981
people,56,0.000547,0.004106
insert,48,0.000469,0.003592
mall,11,0.000107,0.000981
dog,8,0.000078,0.000739
plus,59,0.000576,0.004296
trendy,5,0.000049,0.000485
disney,7,0.000068,0.000655
world,6,0.000059,0.000571
trick,11,0.000107,0.000981
today,32,0.000312,0.002521
dressy,46,0.000449,0.003461
wearings,4,0.000039,0.000396
okay,31,0.000303,0.002452
outside,48,0.000469,0.003592
ones,125,0.001220,0.008186
keeping,16,0.000156,0.001369
quick,38,0.000371,0.002930
offer,24,0.000234,0.001958
terrible,35,0.000342,0.002727
indoors,3,0.000029,0.000306
gone,37,0.000361,0.002863
normal,94,0.000918,0.006417
floppy,5,0.000049,0.000485
guess,31,0.000303,0.002452
try,129,0.001259,0.008408
expensive,48,0.000469,0.003592
construction,25,0.000244,0.002030
makes,117,0.001142,0.007737
theres,20,0.000195,0.001667
tend,28,0.000273,0.002242
avoid,10,0.000098,0.000901
speak,6,0.000059,0.000571
considered,4,0.000039,0.000396
cushiony,18,0.000176,0.001519
likely,15,0.000146,0.001293
run,289,0.002821,0.016561
range,9,0.000088,0.000820
uneven,7,0.000068,0.000655
ground,20,0.000195,0.001667
believe,46,0.000449,0.003461
break,121,0.001181,0.007962
terrific,7,0.000068,0.000655
appear,17,0.000166,0.001444
sizing,44,0.000429,0.003330
rigid,9,0.000088,0.000820
sound,13,0.000127,0.001139
golden,3,0.000029,0.000306
points,3,0.000029,0.000306
tired,38,0.000371,0.002930
dirty,19,0.000185,0.001594
wash,16,0.000156,0.001369
selection,4,0.000039,0.000396
offers,5,0.000049,0.000485
gray,11,0.000107,0.000981
excited,41,0.000400,0.003131
instant,5,0.000049,0.000485
ago,60,0.000586,0.004359
disappoint,13,0.000127,0.001139
capris,8,0.000078,0.000739
sundress,3,0.000029,0.000306
versatile,10,0.000098,0.000901
gorgeous,14,0.000137,0.001216
reasonably,8,0.000078,0.000739
arent,63,0.000615,0.004547
suitable,4,0.000039,0.000396
target,3,0.000029,0.000306
sounds,9,0.000088,0.000820
means,17,0.000166,0.001444
hits,4,0.000039,0.000396
cushioning,40,0.000390,0.003064
bc,7,0.000068,0.000655
squished,3,0.000029,0.000306
somewhat,50,0.000488,0.003721
scratchy,3,0.000029,0.000306
extended,9,0.000088,0.000820
gym,18,0.000176,0.001519
school,195,0.001903,0.011923
described,31,0.000303,0.002452
sooo,13,0.000127,0.001139
unique,6,0.000059,0.000571
pattern,11,0.000107,0.000981
daily,79,0.000771,0.005527
hoped,18,0.000176,0.001519
similar,51,0.000498,0.003786
narrow,220,0.002147,0.013193
foam,381,0.003719,0.020805
memory,349,0.003407,0.019356
added,35,0.000342,0.002727
grip,29,0.000283,0.002313
sloppy,11,0.000107,0.000981
sporty,7,0.000068,0.000655
reviewing,3,0.000029,0.000306
earlier,7,0.000068,0.000655
models,12,0.000117,0.001060
lift,4,0.000039,0.000396
older,23,0.000225,0.001886
tore,8,0.000078,0.000739
paying,3,0.000029,0.000306
window,4,0.000039,0.000396
closed,6,0.000059,0.000571
bad,153,0.001493,0.009717
waste,31,0.000303,0.002452
money,117,0.001142,0.007737
em,21,0.000205,0.001741
likes,121,0.001181,0.007962
guys,4,0.000039,0.000396
te,3,0.000029,0.000306
squeak,15,0.000146,0.001293
kind,61,0.000595,0.004422
online,61,0.000595,0.004422
replacing,4,0.000039,0.000396
season,13,0.000127,0.001139
beats,3,0.000029,0.000306
competition,3,0.000029,0.000306
hands,6,0.000059,0.000571
live,35,0.000342,0.002727
sister,16,0.000156,0.001369
favourite,3,0.000029,0.000306
arrived,89,0.000869,0.006123
original,30,0.000293,0.002382
feminine,7,0.000068,0.000655
liking,8,0.000078,0.000739
uber,3,0.000029,0.000306
girly,12,0.000117,0.001060
appearance,14,0.000137,0.001216
wedges,15,0.000146,0.001293
loosen,16,0.000156,0.001369
covered,9,0.000088,0.000820
idea,26,0.000254,0.002101
returning,50,0.000488,0.003721
chunky,3,0.000029,0.000306
brown,30,0.000293,0.002382
recommended,31,0.000303,0.002452
fan,22,0.000215,0.001814
picture,45,0.000439,0.003396
sexy,3,0.000029,0.000306
period,32,0.000312,0.002521
opening,5,0.000049,0.000485
smell,17,0.000166,0.001444
rubbing,18,0.000176,0.001519
come,112,0.001093,0.007454
upcoming,5,0.000049,0.000485
cruise,6,0.000059,0.000571
stands,7,0.000068,0.000655
correct,27,0.000264,0.002172
hang,8,0.000078,0.000739
sides,44,0.000429,0.003330
inch,24,0.000234,0.001958
additional,13,0.000127,0.001139
gel,46,0.000449,0.003461
pads,4,0.000039,0.000396
available,43,0.000420,0.003264
occasions,5,0.000049,0.000485
sooooo,7,0.000068,0.000655
comfortablebr,9,0.000088,0.000820
winner,4,0.000039,0.000396
