Number of pairs,65209.000000
Number of unique pairs,8257
Average pair frequency,7.897420
Pair entropy,8.403745

Pair,Frequency,Proportion,Entropy Term,Mutual Information
great supportbr,3.000000,0.000046,0.000459,3.511406
great value,13.000000,0.000199,0.001699,3.530824
great son,12.000000,0.000184,0.001583,0.925053
great investment,3.000000,0.000046,0.000459,3.393623
great boot,13.000000,0.000199,0.001699,2.329797
great restaurant,3.000000,0.000046,0.000459,1.184129
great kitchen,6.000000,0.000092,0.000855,2.206458
great condition,3.000000,0.000046,0.000459,2.546325
great protection,3.000000,0.000046,0.000459,2.882798
great active,6.000000,0.000092,0.000855,2.787487
great grandson,5.000000,0.000077,0.000727,1.506554
great granddaughter,4.000000,0.000061,0.000595,1.010995
great kid,3.000000,0.000046,0.000459,1.314182
disappointed shoe,6.000000,0.000092,0.000855,1.117264
disappointed love,3.000000,0.000046,0.000459,0.533902
disappointed time,3.000000,0.000046,0.000459,1.628271
disappointed shoes,18.000000,0.000276,0.002262,1.272837
disappointed comfortable,3.000000,0.000046,0.000459,0.056936
disappointed work,4.000000,0.000061,0.000595,0.947680
disappointed skechers,6.000000,0.000092,0.000855,2.143948
disappointed pair,6.000000,0.000092,0.000855,1.523274
disappointed like,4.000000,0.000061,0.000595,1.195947
disappointed sole,3.000000,0.000046,0.000459,2.371661
disappointed didnt,3.000000,0.000046,0.000459,2.371661
disappointed different,3.000000,0.000046,0.000459,2.703564
disappointed fit,3.000000,0.000046,0.000459,0.657245
disappointed fell,3.000000,0.000046,0.000459,3.879563
disappointed brand,3.000000,0.000046,0.000459,2.775220
disappointed quality,6.000000,0.000092,0.000855,2.886950
tie shoes,14.000000,0.000215,0.001813,2.297816
tie tight,4.000000,0.000061,0.000595,4.048660
tie dye,5.000000,0.000077,0.000727,7.781215
tie laces,5.000000,0.000077,0.000727,4.982193
center strap,3.000000,0.000046,0.000459,5.725490
strap shoe,7.000000,0.000107,0.000981,1.254123
strap shoes,3.000000,0.000046,0.000459,-0.536214
strap comfortable,3.000000,0.000046,0.000459,0.039645
strap feet,5.000000,0.000077,0.000727,1.130370
strap tight,10.000000,0.000153,0.001347,3.671366
strap toe,3.000000,0.000046,0.000459,1.765735
strap toes,10.000000,0.000153,0.001347,3.406375
strap sandal,3.000000,0.000046,0.000459,3.400926
strap big,7.000000,0.000107,0.000981,2.696968
strap little,4.000000,0.000061,0.000595,1.528288
strap foot,16.000000,0.000245,0.002040,3.237117
strap goes,3.000000,0.000046,0.000459,4.051513
strap far,3.000000,0.000046,0.000459,2.524552
strap material,3.000000,0.000046,0.000459,3.213184
strap way,3.000000,0.000046,0.000459,2.515543
strap loose,4.000000,0.000061,0.000595,3.575667
